word,dimension,valence,source_repo,source_file
nonresilient,competence,1,fraser,BWS_annotations.csv
open,competence,1,fraser,BWS_annotations.csv
outgoing,competence,1,fraser,BWS_annotations.csv
persistent,competence,1,fraser,BWS_annotations.csv
pleasant,competence,1,fraser,BWS_annotations.csv
polite,competence,1,fraser,BWS_annotations.csv
popular,competence,1,fraser,BWS_annotations.csv
practical,competence,1,fraser,BWS_annotations.csv
prejudiced,competence,1,fraser,BWS_annotations.csv
racist,competence,1,fraser,BWS_annotations.csv
rational,competence,1,fraser,BWS_annotations.csv
reliable,competence,1,fraser,BWS_annotations.csv
repellent,competence,1,fraser,BWS_annotations.csv
resilient,competence,1,fraser,BWS_annotations.csv
resolute,competence,1,fraser,BWS_annotations.csv
responsible,competence,1,fraser,BWS_annotations.csv
revengeful,competence,1,fraser,BWS_annotations.csv
right,competence,1,fraser,BWS_annotations.csv
rough,competence,1,fraser,BWS_annotations.csv
rude,competence,1,fraser,BWS_annotations.csv
scheming,competence,1,fraser,BWS_annotations.csv
secure,competence,1,fraser,BWS_annotations.csv
self-confident,competence,1,fraser,BWS_annotations.csv
self-reliant,competence,1,fraser,BWS_annotations.csv
selfish,competence,1,fraser,BWS_annotations.csv
selfless,competence,1,fraser,BWS_annotations.csv
sensitive,competence,1,fraser,BWS_annotations.csv
sentimental,competence,1,fraser,BWS_annotations.csv
sexist,competence,1,fraser,BWS_annotations.csv
shrewd,competence,1,fraser,BWS_annotations.csv
shy,competence,1,fraser,BWS_annotations.csv
sincere,competence,1,fraser,BWS_annotations.csv
skilled,competence,1,fraser,BWS_annotations.csv
skillful,competence,1,fraser,BWS_annotations.csv
smart,competence,1,fraser,BWS_annotations.csv
sociable,competence,1,fraser,BWS_annotations.csv
social,competence,1,fraser,BWS_annotations.csv
softhearted,competence,1,fraser,BWS_annotations.csv
spiritless,competence,1,fraser,BWS_annotations.csv
sporadic,competence,1,fraser,BWS_annotations.csv
stingy,competence,1,fraser,BWS_annotations.csv
stupid,competence,1,fraser,BWS_annotations.csv
submissive,competence,1,fraser,BWS_annotations.csv
supportive,competence,1,fraser,BWS_annotations.csv
sympathetic,competence,1,fraser,BWS_annotations.csv
tender,competence,1,fraser,BWS_annotations.csv
thoughtful,competence,1,fraser,BWS_annotations.csv
timid,competence,1,fraser,BWS_annotations.csv
tolerant,competence,1,fraser,BWS_annotations.csv
trustworthy,competence,1,fraser,BWS_annotations.csv
truthful,competence,1,fraser,BWS_annotations.csv
unable,competence,1,fraser,BWS_annotations.csv
unadventurous,competence,1,fraser,BWS_annotations.csv
unaffectionate,competence,1,fraser,BWS_annotations.csv
unambitious,competence,1,fraser,BWS_annotations.csv
unassertive,competence,1,fraser,BWS_annotations.csv
uncaring,competence,1,fraser,BWS_annotations.csv
uncompetitive,competence,1,fraser,BWS_annotations.csv
uncooperative,competence,1,fraser,BWS_annotations.csv
uncreative,competence,1,fraser,BWS_annotations.csv
undedicated,competence,1,fraser,BWS_annotations.csv
understanding,competence,1,fraser,BWS_annotations.csv
undiscriminating,competence,1,fraser,BWS_annotations.csv
uneducated,competence,1,fraser,BWS_annotations.csv
unenterprising,competence,1,fraser,BWS_annotations.csv
unfair,competence,1,fraser,BWS_annotations.csv
unfriendly,competence,1,fraser,BWS_annotations.csv
unhelpful,competence,1,fraser,BWS_annotations.csv
unimaginative,competence,1,fraser,BWS_annotations.csv
unintelligent,competence,1,fraser,BWS_annotations.csv
unlikable,competence,1,fraser,BWS_annotations.csv
unmotivated,competence,1,fraser,BWS_annotations.csv
unperceptive,competence,1,fraser,BWS_annotations.csv
unpopular,competence,1,fraser,BWS_annotations.csv
unprejudiced,competence,1,fraser,BWS_annotations.csv
unreliable,competence,1,fraser,BWS_annotations.csv
unreserved,competence,1,fraser,BWS_annotations.csv
unsociable,competence,1,fraser,BWS_annotations.csv
unsocial,competence,1,fraser,BWS_annotations.csv
unsupportive,competence,1,fraser,BWS_annotations.csv
unsympathetic,competence,1,fraser,BWS_annotations.csv
untroubled,competence,1,fraser,BWS_annotations.csv
untrustworthy,competence,1,fraser,BWS_annotations.csv
unwavering,competence,1,fraser,BWS_annotations.csv
unwise,competence,1,fraser,BWS_annotations.csv
vicious,competence,1,fraser,BWS_annotations.csv
virtuous,competence,1,fraser,BWS_annotations.csv
vulnerable,competence,1,fraser,BWS_annotations.csv
wavering,competence,1,fraser,BWS_annotations.csv
welcoming,competence,1,fraser,BWS_annotations.csv
wise,competence,1,fraser,BWS_annotations.csv
wrong,competence,1,fraser,BWS_annotations.csv
affectionate,warmth,1,fraser,BWS_annotations.csv
aggressive,warmth,1,fraser,BWS_annotations.csv
agreeable,warmth,1,fraser,BWS_annotations.csv
aloof,warmth,1,fraser,BWS_annotations.csv
altruistic,warmth,1,fraser,BWS_annotations.csv
ambitious,warmth,1,fraser,BWS_annotations.csv
amicable,warmth,1,fraser,BWS_annotations.csv
antisocial,warmth,1,fraser,BWS_annotations.csv
anxious,warmth,1,fraser,BWS_annotations.csv
asocial,warmth,1,fraser,BWS_annotations.csv
assertive,warmth,1,fraser,BWS_annotations.csv
autonomous,warmth,1,fraser,BWS_annotations.csv
bad,warmth,1,fraser,BWS_annotations.csv
beneficent,warmth,1,fraser,BWS_annotations.csv
benevolent,warmth,1,fraser,BWS_annotations.csv
boring,warmth,1,fraser,BWS_annotations.csv
bright,warmth,1,fraser,BWS_annotations.csv
brilliant,warmth,1,fraser,BWS_annotations.csv
brutal,warmth,1,fraser,BWS_annotations.csv
capable,warmth,1,fraser,BWS_annotations.csv
careless,warmth,1,fraser,BWS_annotations.csv
caring,warmth,1,fraser,BWS_annotations.csv
cautious,warmth,1,fraser,BWS_annotations.csv
civil,warmth,1,fraser,BWS_annotations.csv
clever,warmth,1,fraser,BWS_annotations.csv
clumsy,warmth,1,fraser,BWS_annotations.csv
cold,warmth,1,fraser,BWS_annotations.csv
compassionate,warmth,1,fraser,BWS_annotations.csv
competent,warmth,1,fraser,BWS_annotations.csv
competitive,warmth,1,fraser,BWS_annotations.csv
confident,warmth,1,fraser,BWS_annotations.csv
