word,dimension,valence,source_repo,source_file,keep
maladroit,competence,1,fraser,BWS_annotations.csv,1
mean,competence,1,fraser,BWS_annotations.csv,1
meek,competence,1,fraser,BWS_annotations.csv,1
meticulous,competence,1,fraser,BWS_annotations.csv,1
moral,competence,1,fraser,BWS_annotations.csv,1
motivated,competence,1,fraser,BWS_annotations.csv,1
naive,competence,1,fraser,BWS_annotations.csv,1
nasty,competence,1,fraser,BWS_annotations.csv,1
negligent,competence,1,fraser,BWS_annotations.csv,1
nice,competence,1,fraser,BWS_annotations.csv,1
nonresilient,competence,1,fraser,BWS_annotations.csv,1
open,competence,1,fraser,BWS_annotations.csv,1
outgoing,competence,1,fraser,BWS_annotations.csv,1
persistent,competence,1,fraser,BWS_annotations.csv,1
pleasant,competence,1,fraser,BWS_annotations.csv,1
polite,competence,1,fraser,BWS_annotations.csv,1
popular,competence,1,fraser,BWS_annotations.csv,1
practical,competence,1,fraser,BWS_annotations.csv,1
prejudiced,competence,1,fraser,BWS_annotations.csv,1
racist,competence,1,fraser,BWS_annotations.csv,1
rational,competence,1,fraser,BWS_annotations.csv,1
reliable,competence,1,fraser,BWS_annotations.csv,1
repellent,competence,1,fraser,BWS_annotations.csv,1
resilient,competence,1,fraser,BWS_annotations.csv,1
resolute,competence,1,fraser,BWS_annotations.csv,1
responsible,competence,1,fraser,BWS_annotations.csv,1
revengeful,competence,1,fraser,BWS_annotations.csv,1
right,competence,1,fraser,BWS_annotations.csv,1
rough,competence,1,fraser,BWS_annotations.csv,1
rude,competence,1,fraser,BWS_annotations.csv,1
scheming,competence,1,fraser,BWS_annotations.csv,1
secure,competence,1,fraser,BWS_annotations.csv,1
self-confident,competence,1,fraser,BWS_annotations.csv,1
self-reliant,competence,1,fraser,BWS_annotations.csv,1
selfish,competence,1,fraser,BWS_annotations.csv,1
selfless,competence,1,fraser,BWS_annotations.csv,1
sensitive,competence,1,fraser,BWS_annotations.csv,1
sentimental,competence,1,fraser,BWS_annotations.csv,1
sexist,competence,1,fraser,BWS_annotations.csv,1
shrewd,competence,1,fraser,BWS_annotations.csv,1
shy,competence,1,fraser,BWS_annotations.csv,1
sincere,competence,1,fraser,BWS_annotations.csv,1
skilled,competence,1,fraser,BWS_annotations.csv,1
skillful,competence,1,fraser,BWS_annotations.csv,1
smart,competence,1,fraser,BWS_annotations.csv,1
sociable,competence,1,fraser,BWS_annotations.csv,1
social,competence,1,fraser,BWS_annotations.csv,1
softhearted,competence,1,fraser,BWS_annotations.csv,1
spiritless,competence,1,fraser,BWS_annotations.csv,1
sporadic,competence,1,fraser,BWS_annotations.csv,1
stingy,competence,1,fraser,BWS_annotations.csv,1
stupid,competence,1,fraser,BWS_annotations.csv,1
submissive,competence,1,fraser,BWS_annotations.csv,1
supportive,competence,1,fraser,BWS_annotations.csv,1
sympathetic,competence,1,fraser,BWS_annotations.csv,1
tender,competence,1,fraser,BWS_annotations.csv,1
thoughtful,competence,1,fraser,BWS_annotations.csv,1
timid,competence,1,fraser,BWS_annotations.csv,1
tolerant,competence,1,fraser,BWS_annotations.csv,1
trustworthy,competence,1,fraser,BWS_annotations.csv,1
truthful,competence,1,fraser,BWS_annotations.csv,1
unable,competence,1,fraser,BWS_annotations.csv,1
unadventurous,competence,1,fraser,BWS_annotations.csv,1
unaffectionate,competence,1,fraser,BWS_annotations.csv,1
unambitious,competence,1,fraser,BWS_annotations.csv,1
unassertive,competence,1,fraser,BWS_annotations.csv,1
uncaring,competence,1,fraser,BWS_annotations.csv,1
uncompetitive,competence,1,fraser,BWS_annotations.csv,1
uncooperative,competence,1,fraser,BWS_annotations.csv,1
uncreative,competence,1,fraser,BWS_annotations.csv,1
undedicated,competence,1,fraser,BWS_annotations.csv,1
understanding,competence,1,fraser,BWS_annotations.csv,1
undiscriminating,competence,1,fraser,BWS_annotations.csv,1
uneducated,competence,1,fraser,BWS_annotations.csv,1
unenterprising,competence,1,fraser,BWS_annotations.csv,1
unfair,competence,1,fraser,BWS_annotations.csv,1
unfriendly,competence,1,fraser,BWS_annotations.csv,1
unhelpful,competence,1,fraser,BWS_annotations.csv,1
unimaginative,competence,1,fraser,BWS_annotations.csv,1
unintelligent,competence,1,fraser,BWS_annotations.csv,1
unlikable,competence,1,fraser,BWS_annotations.csv,1
unmotivated,competence,1,fraser,BWS_annotations.csv,1
unperceptive,competence,1,fraser,BWS_annotations.csv,1
unpopular,competence,1,fraser,BWS_annotations.csv,1
unprejudiced,competence,1,fraser,BWS_annotations.csv,1
unreliable,competence,1,fraser,BWS_annotations.csv,1
unreserved,competence,1,fraser,BWS_annotations.csv,1
unsociable,competence,1,fraser,BWS_annotations.csv,1
unsocial,competence,1,fraser,BWS_annotations.csv,1
unsupportive,competence,1,fraser,BWS_annotations.csv,1
unsympathetic,competence,1,fraser,BWS_annotations.csv,1
untroubled,competence,1,fraser,BWS_annotations.csv,1
untrustworthy,competence,1,fraser,BWS_annotations.csv,1
unwavering,competence,1,fraser,BWS_annotations.csv,1
unwise,competence,1,fraser,BWS_annotations.csv,1
vicious,competence,1,fraser,BWS_annotations.csv,1
virtuous,competence,1,fraser,BWS_annotations.csv,1
vulnerable,competence,1,fraser,BWS_annotations.csv,1
wavering,competence,1,fraser,BWS_annotations.csv,1
welcoming,competence,1,fraser,BWS_annotations.csv,1
wise,competence,1,fraser,BWS_annotations.csv,1
wrong,competence,1,fraser,BWS_annotations.csv,1
affectionate,warmth,1,fraser,BWS_annotations.csv,1
aggressive,warmth,1,fraser,BWS_annotations.csv,1
agreeable,warmth,1,fraser,BWS_annotations.csv,1
aloof,warmth,1,fraser,BWS_annotations.csv,1
altruistic,warmth,1,fraser,BWS_annotations.csv,1
ambitious,warmth,1,fraser,BWS_annotations.csv,1
amicable,warmth,1,fraser,BWS_annotations.csv,1
antisocial,warmth,1,fraser,BWS_annotations.csv,1
anxious,warmth,1,fraser,BWS_annotations.csv,1
asocial,warmth,1,fraser,BWS_annotations.csv,1
assertive,warmth,1,fraser,BWS_annotations.csv,1
autonomous,warmth,1,fraser,BWS_annotations.csv,1
bad,warmth,1,fraser,BWS_annotations.csv,1
beneficent,warmth,1,fraser,BWS_annotations.csv,1
benevolent,warmth,1,fraser,BWS_annotations.csv,1
boring,warmth,1,fraser,BWS_annotations.csv,1
bright,warmth,1,fraser,BWS_annotations.csv,1
brilliant,warmth,1,fraser,BWS_annotations.csv,1
brutal,warmth,1,fraser,BWS_annotations.csv,1
capable,warmth,1,fraser,BWS_annotations.csv,1
careless,warmth,1,fraser,BWS_annotations.csv,1
caring,warmth,1,fraser,BWS_annotations.csv,1
cautious,warmth,1,fraser,BWS_annotations.csv,1
civil,warmth,1,fraser,BWS_annotations.csv,1
clever,warmth,1,fraser,BWS_annotations.csv,1
clumsy,warmth,1,fraser,BWS_annotations.csv,1
cold,warmth,1,fraser,BWS_annotations.csv,1
compassionate,warmth,1,fraser,BWS_annotations.csv,1
competent,warmth,1,fraser,BWS_annotations.csv,1
competitive,warmth,1,fraser,BWS_annotations.csv,1
confident,warmth,1,fraser,BWS_annotations.csv,1
conscientious,warmth,1,fraser,BWS_annotations.csv,1
cooperative,warmth,1,fraser,BWS_annotations.csv,1
corrupt,warmth,1,fraser,BWS_annotations.csv,1
creative,warmth,1,fraser,BWS_annotations.csv,1
criminal,warmth,1,fraser,BWS_annotations.csv,1
critical,warmth,1,fraser,BWS_annotations.csv,1
cunning,warmth,1,fraser,BWS_annotations.csv,1
daring,warmth,1,fraser,BWS_annotations.csv,1
dedicated,warmth,1,fraser,BWS_annotations.csv,1
dependent,warmth,1,fraser,BWS_annotations.csv,1
determined,warmth,1,fraser,BWS_annotations.csv,1
diffident,warmth,1,fraser,BWS_annotations.csv,1
disagreeable,warmth,1,fraser,BWS_annotations.csv,1
discriminating,warmth,1,fraser,BWS_annotations.csv,1
dishonest,warmth,1,fraser,BWS_annotations.csv,1
dishonorable,warmth,1,fraser,BWS_annotations.csv,1
disliked,warmth,1,fraser,BWS_annotations.csv,1
disloyal,warmth,1,fraser,BWS_annotations.csv,1
distant,warmth,1,fraser,BWS_annotations.csv,1
docile,warmth,1,fraser,BWS_annotations.csv,1
dominant,warmth,1,fraser,BWS_annotations.csv,1
dominated,warmth,1,fraser,BWS_annotations.csv,1
dominating,warmth,1,fraser,BWS_annotations.csv,1
double-faced,warmth,1,fraser,BWS_annotations.csv,1
doubtful,warmth,1,fraser,BWS_annotations.csv,1
dumb,warmth,1,fraser,BWS_annotations.csv,1
educated,warmth,1,fraser,BWS_annotations.csv,1
effective,warmth,1,fraser,BWS_annotations.csv,1
efficient,warmth,1,fraser,BWS_annotations.csv,1
egoistic,warmth,1,fraser,BWS_annotations.csv,1
energetic,warmth,1,fraser,BWS_annotations.csv,1
evil,warmth,1,fraser,BWS_annotations.csv,1
exploitative,warmth,1,fraser,BWS_annotations.csv,1
fair,warmth,1,fraser,BWS_annotations.csv,1
faithful,warmth,1,fraser,BWS_annotations.csv,1
fake,warmth,1,fraser,BWS_annotations.csv,1
felicitous,warmth,1,fraser,BWS_annotations.csv,1
foolish,warmth,1,fraser,BWS_annotations.csv,1
forgiving,warmth,1,fraser,BWS_annotations.csv,1
forthcoming,warmth,1,fraser,BWS_annotations.csv,1
friendly,warmth,1,fraser,BWS_annotations.csv,1
funny,warmth,1,fraser,BWS_annotations.csv,1
generous,warmth,1,fraser,BWS_annotations.csv,1
genuine,warmth,1,fraser,BWS_annotations.csv,1
good,warmth,1,fraser,BWS_annotations.csv,1
good-natured,warmth,1,fraser,BWS_annotations.csv,1
graceful,warmth,1,fraser,BWS_annotations.csv,1
hardhearted,warmth,1,fraser,BWS_annotations.csv,1
helpful,warmth,1,fraser,BWS_annotations.csv,1
helpless,warmth,1,fraser,BWS_annotations.csv,1
homophobic,warmth,1,fraser,BWS_annotations.csv,1
honest,warmth,1,fraser,BWS_annotations.csv,1
honorable,warmth,1,fraser,BWS_annotations.csv,1
hospitable,warmth,1,fraser,BWS_annotations.csv,1
hostile,warmth,1,fraser,BWS_annotations.csv,1
humane,warmth,1,fraser,BWS_annotations.csv,1
humorous,warmth,1,fraser,BWS_annotations.csv,1
ignorant,warmth,1,fraser,BWS_annotations.csv,1
illogical,warmth,1,fraser,BWS_annotations.csv,1
imaginative,warmth,1,fraser,BWS_annotations.csv,1
immoral,warmth,1,fraser,BWS_annotations.csv,1
impolite,warmth,1,fraser,BWS_annotations.csv,1
impractical,warmth,1,fraser,BWS_annotations.csv,1
impulsive,warmth,1,fraser,BWS_annotations.csv,1
inactive,warmth,1,fraser,BWS_annotations.csv,1
incapable,warmth,1,fraser,BWS_annotations.csv,1
incompetent,warmth,1,fraser,BWS_annotations.csv,1
inconsiderate,warmth,1,fraser,BWS_annotations.csv,1
incorrupt,warmth,1,fraser,BWS_annotations.csv,1
independent,warmth,1,fraser,BWS_annotations.csv,1
industrious,warmth,1,fraser,BWS_annotations.csv,1
ineffective,warmth,1,fraser,BWS_annotations.csv,1
inefficient,warmth,1,fraser,BWS_annotations.csv,1
inept,warmth,1,fraser,BWS_annotations.csv,1
inhospitable,warmth,1,fraser,BWS_annotations.csv,1
innocent,warmth,1,fraser,BWS_annotations.csv,1
insecure,warmth,1,fraser,BWS_annotations.csv,1
insensitive,warmth,1,fraser,BWS_annotations.csv,1
insightful,warmth,1,fraser,BWS_annotations.csv,1
insincere,warmth,1,fraser,BWS_annotations.csv,1
intelligent,warmth,1,fraser,BWS_annotations.csv,1
intolerant,warmth,1,fraser,BWS_annotations.csv,1
inventive,warmth,1,fraser,BWS_annotations.csv,1
irresponsible,warmth,1,fraser,BWS_annotations.csv,1
kind,warmth,1,fraser,BWS_annotations.csv,1
lazy,warmth,1,fraser,BWS_annotations.csv,1
lenient,warmth,1,fraser,BWS_annotations.csv,1
lethargic,warmth,1,fraser,BWS_annotations.csv,1
likable,warmth,1,fraser,BWS_annotations.csv,1
liked,warmth,1,fraser,BWS_annotations.csv,1
logical,warmth,1,fraser,BWS_annotations.csv,1
loyal,warmth,1,fraser,BWS_annotations.csv,1
maladroit,warmth,1,fraser,BWS_annotations.csv,1
mean,warmth,1,fraser,BWS_annotations.csv,1
meek,warmth,1,fraser,BWS_annotations.csv,1
meticulous,warmth,1,fraser,BWS_annotations.csv,1
moral,warmth,1,fraser,BWS_annotations.csv,1
motivated,warmth,1,fraser,BWS_annotations.csv,1
naive,warmth,1,fraser,BWS_annotations.csv,1
nasty,warmth,1,fraser,BWS_annotations.csv,1
negligent,warmth,1,fraser,BWS_annotations.csv,1
nice,warmth,1,fraser,BWS_annotations.csv,1
nonresilient,warmth,1,fraser,BWS_annotations.csv,1
open,warmth,1,fraser,BWS_annotations.csv,1
outgoing,warmth,1,fraser,BWS_annotations.csv,1
persistent,warmth,1,fraser,BWS_annotations.csv,1
pleasant,warmth,1,fraser,BWS_annotations.csv,1
polite,warmth,1,fraser,BWS_annotations.csv,1
popular,warmth,1,fraser,BWS_annotations.csv,1
practical,warmth,1,fraser,BWS_annotations.csv,1
prejudiced,warmth,1,fraser,BWS_annotations.csv,1
racist,warmth,1,fraser,BWS_annotations.csv,1
rational,warmth,1,fraser,BWS_annotations.csv,1
reliable,warmth,1,fraser,BWS_annotations.csv,1
repellent,warmth,1,fraser,BWS_annotations.csv,1
resentful,warmth,1,fraser,BWS_annotations.csv,1
resilient,warmth,1,fraser,BWS_annotations.csv,1
resolute,warmth,1,fraser,BWS_annotations.csv,1
responsible,warmth,1,fraser,BWS_annotations.csv,1
revengeful,warmth,1,fraser,BWS_annotations.csv,1
right,warmth,1,fraser,BWS_annotations.csv,1
rough,warmth,1,fraser,BWS_annotations.csv,1
rude,warmth,1,fraser,BWS_annotations.csv,1
scheming,warmth,1,fraser,BWS_annotations.csv,1
secure,warmth,1,fraser,BWS_annotations.csv,1
self-confident,warmth,1,fraser,BWS_annotations.csv,1
self-reliant,warmth,1,fraser,BWS_annotations.csv,1
selfish,warmth,1,fraser,BWS_annotations.csv,1
selfless,warmth,1,fraser,BWS_annotations.csv,1
sensitive,warmth,1,fraser,BWS_annotations.csv,1
sentimental,warmth,1,fraser,BWS_annotations.csv,1
sexist,warmth,1,fraser,BWS_annotations.csv,1
shrewd,warmth,1,fraser,BWS_annotations.csv,1
shy,warmth,1,fraser,BWS_annotations.csv,1
sincere,warmth,1,fraser,BWS_annotations.csv,1
skilled,warmth,1,fraser,BWS_annotations.csv,1
skillful,warmth,1,fraser,BWS_annotations.csv,1
smart,warmth,1,fraser,BWS_annotations.csv,1
sociable,warmth,1,fraser,BWS_annotations.csv,1
social,warmth,1,fraser,BWS_annotations.csv,1
softhearted,warmth,1,fraser,BWS_annotations.csv,1
spiritless,warmth,1,fraser,BWS_annotations.csv,1
sporadic,warmth,1,fraser,BWS_annotations.csv,1
stingy,warmth,1,fraser,BWS_annotations.csv,1
stupid,warmth,1,fraser,BWS_annotations.csv,1
supportive,warmth,1,fraser,BWS_annotations.csv,1
sympathetic,warmth,1,fraser,BWS_annotations.csv,1
tender,warmth,1,fraser,BWS_annotations.csv,1
thoughtful,warmth,1,fraser,BWS_annotations.csv,1
timid,warmth,1,fraser,BWS_annotations.csv,1
tolerant,warmth,1,fraser,BWS_annotations.csv,1
treacherous,warmth,1,fraser,BWS_annotations.csv,1
trustworthy,warmth,1,fraser,BWS_annotations.csv,1
truthful,warmth,1,fraser,BWS_annotations.csv,1
unable,warmth,1,fraser,BWS_annotations.csv,1
unadventurous,warmth,1,fraser,BWS_annotations.csv,1
unaffectionate,warmth,1,fraser,BWS_annotations.csv,1
unambitious,warmth,1,fraser,BWS_annotations.csv,1
unassertive,warmth,1,fraser,BWS_annotations.csv,1
uncaring,warmth,1,fraser,BWS_annotations.csv,1
uncompetitive,warmth,1,fraser,BWS_annotations.csv,1
uncooperative,warmth,1,fraser,BWS_annotations.csv,1
uncreative,warmth,1,fraser,BWS_annotations.csv,1
undedicated,warmth,1,fraser,BWS_annotations.csv,1
understanding,warmth,1,fraser,BWS_annotations.csv,1
undiscriminating,warmth,1,fraser,BWS_annotations.csv,1
uneducated,warmth,1,fraser,BWS_annotations.csv,1
unenterprising,warmth,1,fraser,BWS_annotations.csv,1
unfair,warmth,1,fraser,BWS_annotations.csv,1
unforgiving,warmth,1,fraser,BWS_annotations.csv,1
unfriendly,warmth,1,fraser,BWS_annotations.csv,1
unhelpful,warmth,1,fraser,BWS_annotations.csv,1
unimaginative,warmth,1,fraser,BWS_annotations.csv,1
unintelligent,warmth,1,fraser,BWS_annotations.csv,1
unkind,warmth,1,fraser,BWS_annotations.csv,1
unlikable,warmth,1,fraser,BWS_annotations.csv,1
unmotivated,warmth,1,fraser,BWS_annotations.csv,1
unperceptive,warmth,1,fraser,BWS_annotations.csv,1
unpleasant,warmth,1,fraser,BWS_annotations.csv,1
unpopular,warmth,1,fraser,BWS_annotations.csv,1
unprejudiced,warmth,1,fraser,BWS_annotations.csv,1
unreliable,warmth,1,fraser,BWS_annotations.csv,1
unreserved,warmth,1,fraser,BWS_annotations.csv,1
unsociable,warmth,1,fraser,BWS_annotations.csv,1
unsocial,warmth,1,fraser,BWS_annotations.csv,1
unsupportive,warmth,1,fraser,BWS_annotations.csv,1
unsympathetic,warmth,1,fraser,BWS_annotations.csv,1
untroubled,warmth,1,fraser,BWS_annotations.csv,1
untrustworthy,warmth,1,fraser,BWS_annotations.csv,1
untruthful,warmth,1,fraser,BWS_annotations.csv,1
unwavering,warmth,1,fraser,BWS_annotations.csv,1
unwise,warmth,1,fraser,BWS_annotations.csv,1
vicious,warmth,1,fraser,BWS_annotations.csv,1
virtuous,warmth,1,fraser,BWS_annotations.csv,1
vulnerable,warmth,1,fraser,BWS_annotations.csv,1
warm,warmth,1,fraser,BWS_annotations.csv,1
wavering,warmth,1,fraser,BWS_annotations.csv,1
welcoming,warmth,1,fraser,BWS_annotations.csv,1
wise,warmth,1,fraser,BWS_annotations.csv,1
wrong,warmth,1,fraser,BWS_annotations.csv,1
able,ability,1,sadcat,seed_words_052425.csv,0
bright,ability,1,sadcat,seed_words_052425.csv,0
brilliant,ability,1,sadcat,seed_words_052425.csv,0
capable,ability,1,sadcat,seed_words_052425.csv,0
clever,ability,1,sadcat,seed_words_052425.csv,0
clumsy,ability,1,sadcat,seed_words_052425.csv,0
competent,ability,1,sadcat,seed_words_052425.csv,0
creative,ability,1,sadcat,seed_words_052425.csv,0
dumb,ability,1,sadcat,seed_words_052425.csv,0
educated,ability,1,sadcat,seed_words_052425.csv,0
effective,ability,1,sadcat,seed_words_052425.csv,0
efficient,ability,1,sadcat,seed_words_052425.csv,0
