quadrant,n,kl_model_to_human,kl_human_to_model,kl_symm,model_mean_w,model_mean_c,human_mean_w,human_mean_c
envy,18,3.6983092589366953,3.3206585888182243,3.5094839238774598,-0.4133512079715729,-0.0685446560382843,-0.7904579395751451,0.7730847287686233
admiration,20,2.4691603586917994,1.3574129707594855,1.9132866647256423,0.26696857810020447,0.5169531106948853,0.7879050096502922,0.6138573441023619
paternalism,12,2.441904905417169,0.8757549906431356,1.6588299480301523,0.8974325656890869,0.24485035240650177,0.847714122140729,-0.7295610141918699
contempt,16,0.9620534022992359,0.3949345077328056,0.6784939550160207,-0.5417649745941162,-0.7527163624763489,-0.6290446050486753,-0.9489608714559898
